,predicted_mean
2021-11-10 11:30:00+00:00,398003.8528369417
2021-11-10 11:45:00+00:00,91068.19894001726
2021-11-10 12:00:00+00:00,46188.09212743782
2021-11-10 12:15:00+00:00,745728.3190426882
2021-11-10 12:30:00+00:00,700722.1538103984
2021-11-10 12:45:00+00:00,84502.07257656718
2021-11-10 13:00:00+00:00,517865.2357223544
2021-11-10 13:15:00+00:00,909600.7273504566
2021-11-10 13:30:00+00:00,440967.63371948205
2021-11-10 13:45:00+00:00,109606.61092702096
2021-11-10 14:00:00+00:00,59012.161844844035
2021-11-10 14:15:00+00:00,1058950.937818323
2021-11-10 14:30:00+00:00,401414.3583903891
2021-11-10 14:45:00+00:00,87657.69338656985
2021-11-10 15:00:00+00:00,49598.59768088523
2021-11-10 15:15:00+00:00,749138.8245961356
2021-11-10 15:30:00+00:00,704132.6593638458
2021-11-10 15:45:00+00:00,87912.57813001459
2021-11-10 16:00:00+00:00,521275.7412758018
2021-11-10 16:15:00+00:00,913011.232903904
2021-11-10 16:30:00+00:00,444378.13927292946
2021-11-10 16:45:00+00:00,106196.10537357355
2021-11-10 17:00:00+00:00,55601.656291396626
2021-11-10 17:15:00+00:00,1062361.4433717704
2021-11-10 17:30:00+00:00,404824.86394383654
2021-11-10 17:45:00+00:00,84247.18783312244
2021-11-10 18:00:00+00:00,53009.10323433264
2021-11-10 18:15:00+00:00,752549.330149583
2021-11-10 18:30:00+00:00,707543.1649172932
2021-11-10 18:45:00+00:00,91323.083683462
2021-11-10 19:00:00+00:00,524686.2468292492
2021-11-10 19:15:00+00:00,916421.7384573515
2021-11-10 19:30:00+00:00,447788.64482637687
2021-11-10 19:45:00+00:00,102785.59982012614
2021-11-10 20:00:00+00:00,52191.15073794922
2021-11-10 20:15:00+00:00,1065771.9489252178
2021-11-10 20:30:00+00:00,408235.36949728394
2021-11-10 20:45:00+00:00,80836.68227967503
2021-11-10 21:00:00+00:00,56419.608787780046
2021-11-10 21:15:00+00:00,755959.8357030305
2021-11-10 21:30:00+00:00,710953.6704707406
2021-11-10 21:45:00+00:00,94733.5892369094
2021-11-10 22:00:00+00:00,528096.7523826966
2021-11-10 22:15:00+00:00,919832.2440107989
2021-11-10 22:30:00+00:00,451199.1503798243
2021-11-10 22:45:00+00:00,99375.09426667873
2021-11-10 23:00:00+00:00,48780.64518450181
2021-11-10 23:15:00+00:00,1069182.4544786653
2021-11-10 23:30:00+00:00,411645.87505073135
2021-11-10 23:45:00+00:00,77426.17672622763
2021-11-11 00:00:00+00:00,59830.114341227454
2021-11-11 00:15:00+00:00,759370.3412564779
2021-11-11 00:30:00+00:00,714364.176024188
2021-11-11 00:45:00+00:00,98144.09479035682
2021-11-11 01:00:00+00:00,531507.257936144
2021-11-11 01:15:00+00:00,923242.7495642463
2021-11-11 01:30:00+00:00,454609.6559332717
2021-11-11 01:45:00+00:00,95964.58871323132
2021-11-11 02:00:00+00:00,45370.1396310544
2021-11-11 02:15:00+00:00,1072592.9600321127
2021-11-11 02:30:00+00:00,415056.38060417876
2021-11-11 02:45:00+00:00,74015.67117278022
2021-11-11 03:00:00+00:00,63240.61989467486
2021-11-11 03:15:00+00:00,762780.8468099253
2021-11-11 03:30:00+00:00,717774.6815776355
2021-11-11 03:45:00+00:00,101554.60034380422
2021-11-11 04:00:00+00:00,534917.7634895914
2021-11-11 04:15:00+00:00,926653.2551176937
2021-11-11 04:30:00+00:00,458020.1614867191
2021-11-11 04:45:00+00:00,92554.08315978391
2021-11-11 05:00:00+00:00,41959.63407760699
2021-11-11 05:15:00+00:00,1076003.46558556
2021-11-11 05:30:00+00:00,418466.88615762617
2021-11-11 05:45:00+00:00,70605.16561933281
2021-11-11 06:00:00+00:00,66651.12544812227
2021-11-11 06:15:00+00:00,766191.3523633727
2021-11-11 06:30:00+00:00,721185.1871310829
2021-11-11 06:45:00+00:00,104965.10589725163
2021-11-11 07:00:00+00:00,538328.2690430388
2021-11-11 07:15:00+00:00,930063.7606711411
2021-11-11 07:30:00+00:00,461430.6670401665
2021-11-11 07:45:00+00:00,89143.5776063365
2021-11-11 08:00:00+00:00,38549.12852415958
2021-11-11 08:15:00+00:00,1079413.9711390075
2021-11-11 08:30:00+00:00,421877.3917110736
2021-11-11 08:45:00+00:00,67194.6600658854
2021-11-11 09:00:00+00:00,70061.63100156968
2021-11-11 09:15:00+00:00,769601.8579168201
2021-11-11 09:30:00+00:00,724595.6926845303
2021-11-11 09:45:00+00:00,108375.61145069904
2021-11-11 10:00:00+00:00,541738.7745964862
2021-11-11 10:15:00+00:00,933474.2662245885
2021-11-11 10:30:00+00:00,464841.1725936139
2021-11-11 10:45:00+00:00,85733.0720528891
2021-11-11 11:00:00+00:00,35138.622970712175
2021-11-11 11:15:00+00:00,1082824.476692455
2021-11-11 11:30:00+00:00,425287.897264521
2021-11-11 11:45:00+00:00,63784.15451243799
2021-11-11 12:00:00+00:00,73472.13655501709
2021-11-11 12:15:00+00:00,773012.3634702675
2021-11-11 12:30:00+00:00,728006.1982379777
2021-11-11 12:45:00+00:00,111786.11700414645
2021-11-11 13:00:00+00:00,545149.2801499336
2021-11-11 13:15:00+00:00,936884.7717780359
2021-11-11 13:30:00+00:00,468251.6781470613
2021-11-11 13:45:00+00:00,82322.56649944169
2021-11-11 14:00:00+00:00,31728.117417264766
2021-11-11 14:15:00+00:00,1086234.9822459023
2021-11-11 14:30:00+00:00,428698.4028179684
2021-11-11 14:45:00+00:00,60373.64895899058
2021-11-11 15:00:00+00:00,76882.6421084645
2021-11-11 15:15:00+00:00,776422.8690237149
2021-11-11 15:30:00+00:00,731416.7037914251
2021-11-11 15:45:00+00:00,115196.62255759386
2021-11-11 16:00:00+00:00,548559.785703381
2021-11-11 16:15:00+00:00,940295.2773314833
2021-11-11 16:30:00+00:00,471662.1837005087
2021-11-11 16:45:00+00:00,78912.06094599428
2021-11-11 17:00:00+00:00,28317.611863817358
2021-11-11 17:15:00+00:00,1089645.4877993497
2021-11-11 17:30:00+00:00,432108.9083714158
2021-11-11 17:45:00+00:00,56963.143405543175
2021-11-11 18:00:00+00:00,80293.1476619119
2021-11-11 18:15:00+00:00,779833.3745771623
2021-11-11 18:30:00+00:00,734827.2093448725
2021-11-11 18:45:00+00:00,118607.12811104127
2021-11-11 19:00:00+00:00,551970.2912568285
2021-11-11 19:15:00+00:00,943705.7828849307
2021-11-11 19:30:00+00:00,475072.68925395614
2021-11-11 19:45:00+00:00,75501.55539254687
2021-11-11 20:00:00+00:00,24907.10631036995
2021-11-11 20:15:00+00:00,1093055.993352797
2021-11-11 20:30:00+00:00,435519.4139248632
2021-11-11 20:45:00+00:00,53552.637852095766
2021-11-11 21:00:00+00:00,83703.65321535931
2021-11-11 21:15:00+00:00,783243.8801306097
2021-11-11 21:30:00+00:00,738237.7148983199
2021-11-11 21:45:00+00:00,122017.63366448868
2021-11-11 22:00:00+00:00,555380.7968102759
2021-11-11 22:15:00+00:00,947116.2884383781
2021-11-11 22:30:00+00:00,478483.19480740355
2021-11-11 22:45:00+00:00,72091.04983909946
2021-11-11 23:00:00+00:00,21496.60075692254
2021-11-11 23:15:00+00:00,1096466.4989062445
2021-11-11 23:30:00+00:00,438929.9194783106
2021-11-11 23:45:00+00:00,50142.13229864836
2021-11-12 00:00:00+00:00,87114.15876880672
2021-11-12 00:15:00+00:00,786654.3856840571
2021-11-12 00:30:00+00:00,741648.2204517673
2021-11-12 00:45:00+00:00,125428.13921793608
